Change component parameters: Designator = "L1" ("L1"); Footprint = "L1515 - COILCRAFT"; UniqueID = "\GWZNTPKR\FSJKUGJR" ("\GWZNTPKR\FSJKUGJR")
Add component (AddParameter): Name = "Harmonized Tariff Schedule (HTS) Code"; Value = "8504.50.80.00"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "4.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "2.3876mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Introduction Date"; Value = "2012-12-11"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "10.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Production"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "EPCOS"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Lifecycle Status"; Value = "PRODUCTION"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "B82464P4333M000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = "Steel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Current Rating"; Value = "1.85A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max DC Current"; Value = "1.85A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Length"; Value = "10.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
